FriendlyName,Operation,Description
Updated list view,ListViewUpdated,A user updated a SharePoint list view by modifying one or more properties.
Updated site column,SiteColumnUpdated,A user updated a SharePoint site column by modifying one or more properties.
Updated site content type,SiteContentTypeUpdated,A user updated a site content type by modifying one or more properties.
Added permission level to site collection,PermissionLevelAdded,A permission level was added to a site collection.
Accepted access request,AccessRequestAccepted,"An access request to a site, folder, or document was accepted and the requesting user has been granted access."
Accepted sharing invitation,SharingInvitationAccepted,"User (member or guest) accepted a sharing invitation and was granted access to a resource. This event includes information about the user who was invited and the email address that was used to accept the invitation (they could be different). This activity is often accompanied by a second event that describes how the user was granted access to the resource, for example, adding the user to a group that has access to the resource."
Blocked sharing invitation,SharingInvitationBlocked,"A sharing invitation sent by a user in your organization is blocked because of an external sharing policy that either allows or denies external sharing based on the domain of the target user. In this case, the sharing invitation was blocked because:  The target user's domain isn't included in the list of allowed domains.  Or  The target user's domain is included in the list of blocked domains.  For more information about allowing or blocking external sharing based on domains, see Restricted domains sharing in SharePoint Online and OneDrive for Business."
Created access request,AccessRequestCreated,"User requests access to a site, folder, or document they don't have permissions to access."
Created a company shareable link,CompanyLinkCreated,User created a company-wide link to a resource. company-wide links can only be used by members in your organization. They can't be used by guests.
Created an anonymous link,AnonymousLinkCreated,User created an anonymous link to a resource. Anyone with this link can access the resource without having to be authenticated.
Created secure link,SecureLinkCreated,A secure sharing link was created to this item.
Created sharing invitation,SharingInvitationCreated,User shared a resource in SharePoint Online or OneDrive for Business with a user who isn't in your organization's directory.
Deleted secure link,SecureLinkDeleted,A secure sharing link was deleted.
Denied access request,AccessRequestDenied,"An access request to a site, folder, or document was denied."
Removed a company shareable link,CompanyLinkRemoved,User removed a company-wide link to a resource. The link can no longer be used to access the resource.
Removed an anonymous link,AnonymousLinkRemoved,User removed an anonymous link to a resource. The link can no longer be used to access the resource.
"Shared file, folder, or site",SharingSet,"User (member or guest) shared a file, folder, or site in SharePoint or OneDrive for Business with a user in your organization's directory. The value in the Detail column for this activity identifies the name of the user the resource was shared with and whether this user is a member or a guest.  This activity is often accompanied by a second event that describes how the user was granted access to the resource. For example, adding the user to a group that has access to the resource."
Updated access request,AccessRequestUpdated,An access request to an item was updated.
Updated an anonymous link,AnonymousLinkUpdated,User updated an anonymous link to a resource. The updated field is included in the EventData property when you export the search results.
Updated sharing invitation,SharingInvitationUpdated,An external sharing invitation was updated.
Used an anonymous link,AnonymousLinkUsed,"An anonymous user accessed a resource by using an anonymous link. The user's identity might be unknown, but you can get other details such as the user's IP address."
"Unshared file, folder, or site",SharingRevoked,"User (member or guest) unshared a file, folder, or site that was previously shared with another user."
Used a company shareable link,CompanyLinkUsed,User accessed a resource by using a company-wide link.
Used secure link,SecureLinkUsed,A user used a secure link.
User added to secure link,AddedToSecureLink,A user was added to the list of entities who can use a secure sharing link.
User removed from secure link,RemovedFromSecureLink,A user was removed from the list of entities who can use a secure sharing link.
Withdrew sharing invitation,SharingInvitationRevoked,User withdrew a sharing invitation to a resource.
Added allowed data location,AllowedDataLocationAdded,A SharePoint or global administrator added an allowed data location in a multi-geo environment.
Added exempt user agent,ExemptUserAgentSet,A SharePoint or global administrator added a user agent to the list of exempt user agents in the SharePoint admin center.
Added geo location admin,GeoAdminAdded,A SharePoint or global administrator added a user as a geo admin of a location.
Allowed user to create groups,AllowGroupCreationSet,Site administrator or owner adds a permission level to a site that allows a user assigned that permission to create a group for that site.Canceled site geo move
Changed a sharing policy,SharingPolicyChanged,"A SharePoint or global administrator changed a SharePoint sharing policy by using the Microsoft 365 admin center, SharePoint admin center, or SharePoint Online Management Shell. Any change to the settings in the sharing policy in your organization will be logged. The policy that was changed is identified in the ModifiedProperties field in the detailed properties of the event record."
Changed device access policy,DeviceAccessPolicyChanged,"A SharePoint or global administrator changed the unmanaged devices policy for your organization. This policy controls access to SharePoint, OneDrive, and Microsoft 365 from devices that aren't joined to your organization. Configuring this policy requires an Enterprise Mobility + Security subscription. For more information, see Control access from unmanaged devices."
Changed exempt user agents,CustomizeExemptUsers,"A SharePoint or global administrator customized the list of exempt user agents in the SharePoint admin center. You can specify which user agents to exempt from receiving an entire web page to index. This means when a user agent you've specified as exempt encounters an InfoPath form, the form is returned as an XML file, instead of an entire web page. This makes indexing InfoPath forms faster."
Changed network access policy,NetworkAccessPolicyChanged,"A SharePoint or global administrator changed the location-based access policy (also called a trusted network boundary) in the SharePoint admin center or by using SharePoint Online PowerShell. This type of policy controls who can access SharePoint and OneDrive resources in your organization based on authorized IP address ranges that you specify. For more information, see Control access to SharePoint Online and OneDrive data based on network location."
Completed migration job,MigrationJobCompleted,A migration job was successfully completed.
Completed site geo move,SiteGeoMoveCompleted,"A site geo move that was scheduled by a global administrator in your organization was successfully completed. The Multi-Geo capability lets an organization span multiple Microsoft datacenter geographies, which are called geos. For more information, see Multi-Geo Capabilities in OneDrive and SharePoint Online."
Created Sent To connection,SendToConnectionAdded,"A SharePoint or global administrator creates a new Send To connection on the Records management page in the SharePoint admin center. A Send To connection specifies settings for a document repository or a records center. When you create a Send To connection, a Content Organizer can submit documents to the specified location."
Created site collection,SiteCollectionCreated,A SharePoint or global administrator creates a site collection in your SharePoint Online organization or a user provisions their OneDrive for Business site.
Deleted orphaned hub site,HubSiteOrphanHubDeleted,"A SharePoint or global administrator deleted an orphan hub site, which is a hub site that doesn't have any sites associated with it. An orphaned hub is likely caused by the deletion of the original hub site."
Deleted Sent To connection,SendToConnectionRemoved,A SharePoint or global administrator deletes a Send To connection on the Records management page in the SharePoint admin center.
Deleted site,SiteDeleted,Site administrator deletes a site.
Enabled document preview,PreviewModeEnabledSet,Site administrator enables document preview for a site.
Enabled legacy workflow,LegacyWorkflowEnabledSet,Site administrator or owner adds the SharePoint 2013 Workflow Task content type to the site. Global administrators can also enable work flows for the entire organization in the SharePoint admin center.
Enabled Office on Demand,OfficeOnDemandSet,"Site administrator enables Office on Demand, which lets users access the latest version of Office desktop applications. Office on Demand is enabled in the SharePoint admin center and requires a Microsoft 365 subscription that includes full, installed Office applications."
Enabled result source for People Searches,PeopleResultsScopeSet,Site administrator creates the result source for People Searches for a site.
Enabled RSS feeds,NewsFeedEnabledSet,Site administrator or owner enables RSS feeds for a site. Global administrators can enable RSS feeds for the entire organization in the SharePoint admin center.
Joined site to hub site,HubSiteJoined,A site owner associates their site with a hub site.
Modified site collection quota,SiteCollectionQuotaModified,Site administrator modifies the quota for a site collection.
Registered hub site,HubSiteRegistered,A SharePoint or global administrator creates a hub site. The results are that the site is registered to be a hub site.
Removed allowed data location,AllowedDataLocationDeleted,A SharePoint or global administrator removed an allowed data location in a multi-geo environment.
Removed geo location admin,GeoAdminDeleted,A SharePoint or global administrator removed a user as a geo admin of a location.
Renamed site,SiteRenamed,Site administrator or owner renames a site
Scheduled site geo move,SiteGeoMoveScheduled,"A SharePoint or global administrator successfully schedules a SharePoint or OneDrive site geo move. The Multi-Geo capability lets an organization span multiple Microsoft datacenter geographies, which are called geos. For more information, see Multi-Geo Capabilities in OneDrive and SharePoint Online."
Set host site,HostSiteSet,A SharePoint or global administrator changes the designated site to host personal or OneDrive for Business sites.
Set storage quota for geo location,GeoQuotaAllocated,A SharePoint or global administrator configured the storage quota for a geo location in a multi-geo environment.
Unjoined site from hub site,HubSiteUnjoined,A site owner disassociates their site from a hub site.
Unregistered hub site,HubSiteUnregistered,"A SharePoint or global administrator unregisters a site as a hub site. When a hub site is unregistered, it no longer functions as a hub site."
Added site collection admin,SiteCollectionAdminAdded,Site collection administrator or owner adds a person as a site collection administrator for a site. Site collection administrators have full control permissions for the site collection and all subsites. This activity is also logged when an admin gives themselves access to a user's OneDrive account (by editing the user profile in the SharePoint admin center or by using the Microsoft 365 admin center).
Added user or group to SharePoint group,AddedToGroup,"User added a member or guest to a SharePoint group. This might have been an intentional action or the result of another activity, such as a sharing event."
Broke permission level inheritance,PermissionLevelsInheritanceBroken,An item was changed so that it no longer inherits permission levels from its parent.
Broke sharing inheritance,SharingInheritanceBroken,An item was changed so that it no longer inherits sharing permissions from its parent.
Created group,GroupAdded,"Site administrator or owner creates a group for a site, or performs a task that results in a group being created. For example, the first time a user creates a link to share a file, a system group is added to the user's OneDrive for Business site. This event can also be a result of a user creating a link with edit permissions to a shared file."
Deleted group,GroupRemoved,User deletes a group from a site.
Modified access request setting,WebRequestAccessModified,The access request settings were modified on a site.
Modified 'Members Can Share' setting,WebMembersCanShareModified,The Members Can Share setting was modified on a site.
Modified permission level on a site collection,PermissionLevelModified,A permission level was changed on a site collection.
Modified site permissions,SitePermissionsModified,"Site administrator or owner (or system account) changes the permission level that is assigned to a group on a site. This activity is also logged if all permissions are removed from a group.  NOTE: This operation has been deprecated in SharePoint Online. To find related events, you can search for other permission-related activities such as Added site collection admin, Added user or group to SharePoint group, Allowed user to create groups, Created group, and Deleted group."
Removed permission level from site collection,PermissionLevelRemoved,A permission level was removed from a site collection.
Removed site collection admin,SiteCollectionAdminRemoved,"Site collection administrator or owner removes a person as a site collection administrator for a site. This activity is also logged when an admin removes themselves from the list of site collection administrators for a user's OneDrive account (by editing the user profile in the SharePoint admin center). To return this activity in the audit log search results, you have to search for all activities."
Removed user or group from SharePoint group,RemovedFromGroup,"User removed a member or guest from a SharePoint group. This might have been an intentional action or the result of another activity, such as an unsharing event."
Requested site admin permissions,SiteAdminChangeRequest,User requests to be added as a site collection administrator for a site collection. Site collection administrators have full control permissions for the site collection and all subsites.
Restored sharing inheritance,SharingInheritanceReset,A change was made so that an item inherits sharing permissions from its parent.
Updated group,GroupUpdated,"Site administrator or owner changes the settings of a group for a site. This can include changing the group's name, who can view or edit the group membership, and how membership requests are handled."
Allowed computer to sync files,ManagedSyncClientAllowed,"User successfully establishes a sync relationship with a site. The sync relationship is successful because the user's computer is a member of a domain that's been added to the list of domains (called the safe recipients list) that can access document libraries in your organization.  For more information about this feature, see Use PowerShell cmdlets to enable OneDrive sync for domains that are on the safe recipients list."
Blocked computer from syncing files,UnmanagedSyncClientBlocked,"User tries to establish a sync relationship with a site from a computer that isn't a member of your organization's domain or is a member of a domain that hasn't been added to the list of domains (called the safe recipients list) that can access document libraries in your organization. The sync relationship isn't allowed, and the user's computer is blocked from syncing, downloading, or uploading files on a document library.  For information about this feature, see Use PowerShell cmdlets to enable OneDrive sync for domains that are on the safe recipients list."
Downloaded files to computer,FileSyncDownloadedFull,User downloads a file to their computer from a SharePoint document library or OneDrive for Business using OneDrive sync app (OneDrive.exe).
Downloaded file changes to computer,FileSyncDownloadedPartial,This event has been deprecated along with the old OneDrive for Business sync app (Groove.exe).
Uploaded files to document library,FileSyncUploadedFull,User uploads a new file or changes to a file in SharePoint document library or OneDrive for Business using OneDrive sync app (OneDrive.exe).
Uploaded file changes to document library,FileSyncUploadedPartial,This event has been deprecated along with the old OneDrive for Business sync app (Groove.exe).
Data Share Created,DataShareCreated,When the data export is created by the user.
Data Share Deleted,DataShareDeleted,When the data export is deleted by the user.
Generate Copy Of Lake Data,GenerateCopyOfLakeData,When the copy of Lake Data is generated.
Download Copy Of Lake Data,DownloadCopyOfLakeData,When the copy of Lake Data is downloaded.
Added user,Add user.,A user account was created.
Changed user license,Change user license.,"The license assigned to a user what changed. To see what licenses were changes, see the corresponding Updated user activity."
Changed user password,Change user password.,"A user changes their password. Self-service password reset has to be enabled (for all or selected users) in your organization to allow users to reset their password. You can also track self-service password reset activity in Microsoft Entra ID. For more information, see Reporting options for Microsoft Entra password management."
Deleted user,Delete user.,A user account was deleted.
Reset user password,Reset user password.,Administrator resets the password for a user.
Set property that forces user to change password,Set force change user password.,Administrator set the property that forces a user to change their password the next time the user signs in to Microsoft 365.
Set license properties,Set license properties.,Administrator modifies the properties of a licensed assigned to a user.
Updated user,Update user.,"Administrator changes one or more properties of a user account. For a list of the user properties that can be updated, see the ""Update user attributes"" section in Microsoft Entra audit Report Events."
Organization created,Organization created,Admin or the user has created a new organization on Viva Goals.
User added,User added,A new user has been added to an organization on Viva Goals.
User deactivated,User deactivated,A user has been deactivated in an organization.
User deleted,User deleted,A user has been deleted from an organization on Viva Goals.
User logged in,User logged in,User has logged into Viva Goals.
Team added,Team added,A new team has been created within an organization on Viva Goals.
Team updated,Team updated,A team within an organization on Viva Goals has been modified or updated.
Team deleted,Team deleted,A team within an organization on Viva Goals has been deleted by the user.
Data exported,Data exported,A user has exported list of OKRs or list of users in an organization on Viva Goals.
Goals policy updated,Goals policy updated,"The global admin has modified the policy or settings at the tenant level on Viva Goals. For example, the global admin has configured who can create organizations on Viva Goals."
Organization settings updated,Organization settings updated,The user (typically Organization owners or admins) has updated organization specific settings on Viva Goals.
Organization integrations updated,Organization integrations updated,The user (typically Organization owners or admins) has configured a third party integration or updated an existing third party integration for an organization on Viva Goals.
OKR or Project created,OKR or Project created,User has created an OKR or Project on Viva Goals.
OKR or Project updated,OKR or Project updated,An OKR/Project has been modified or a check-in has been made by the user or an integration on Viva Goals.
OKR or Project deleted,OKR or Project deleted,User has deleted an OKR or Project.
Dashboard created,Dashboard created,User has created a new dashboard on Viva Goals
Dashboard updated,Dashboard updated,User has updated a dashboard on Viva Goals
Dashboard deleted,Dashboard deleted,User has deleted a dashboard on Viva Goals.
Changed data retention policy,SoftDeleteSettingsUpdated,Verified admin updates the setting for the network data retention policy to either Hard Delete or Soft Delete. Only verified admins can perform this operation.
Changed network configuration,NetworkConfigurationUpdated,Network or verified admin changes the Viva Engage network's configuration. This includes setting the interval for exporting data and enabling chat.
Changed network profile settings,ProcessProfileFields,Network or verified admin changes the information that appears on member profiles for network users network.
Changed private content mode,SupervisorAdminToggled,Verified admin turns Private Content Mode on or off. This mode lets an admin view the posts in private groups and view private messages between individual users (or groups of users). Only verified admins only can perform this operation.
Changed security configuration,NetworkSecurityConfigurationUpdated,Verified admin updates the Viva Engage network's security configuration. This includes setting password expiration policies and restrictions on IP addresses. Only verified admins can perform this operation.
Created file,FileCreated,User uploads a file.
Created group,GroupCreation,User creates a group.
Created message,MessageCreation,User creates a message.
Deleted group,GroupDeletion,A group is deleted from Viva Engage.
Deleted message,MessageDeleted,User deletes a message.
Downloaded file,FileDownloaded,User downloads a file.
Exported data,DataExport,Verified admin exports Viva Engage network data. Only verified admins can perform this operation.
Failed to access community,CommunityAccessFailure,User failed to access a community.
Failed to access file,FileAccessFailure,User failed to access a file.
Failed to access message,MessageAccessFailure,User failed to access a message.
Reacted to message,MarkedMessageChanged,User reacted to a message.
Remove curated topic*,RemoveCuratedTopic,User removes a curated topic.
Shared file,FileShared,User shares a file with another user.
Suspended network user,NetworkUserSuspended,Network or verified admin suspends (deactivates) a user from Viva Engage.
Suspended user,UserSuspension,User account is suspended (deactivated).
Updated file description,FileUpdateDescription,User changes the description of a file.
Updated file name,FileUpdateName,User changes the name of a file.
Updated message,MessageUpdated,User updates a message.
Viewed file,FileVisited,User views a file.
Viewed message,MessageViewed,User views a message.
User submitted response to a pulse survey,PulseSubmit,Admin or user provided feedback for a Viva Pulse feedback request.
User created a Pulse survey,PulseCreate,New Viva Pulse feedback request is created.
User extended their pulse survey deadline,PulseExtendDeadline,The deadline for the existing Viva Pulse feedback request was extended.
User invited additional users to Pulse survey,PulseInvite,Additional users were invited to an existing Viva Pulse feedback request.
User canceled a Pulse survey,PulseCancel,User canceled a Pulse survey.
User shared a pulse report,PulseShareResults,Viva Pulse feedback result was shared with users.
User created a Pulse draft,PulseCreateDraft,User created a Pulse draft.
User deleted a Pulse draft,PulseDeleteDraft,User deleted a Pulse draft.
Admin deleted an user's data,PulseDeleteUserData,Admin deleted an user's data.
Admin updated tenant's settings,PulseTenantSettingsUpdate,Admin updated an organization setting for Viva Pulse.
Trigger device remediation,Trigger device remediation,Trigger device remediation.
Upload folder to blob,Upload folder to blob,Compress and upload customer device's folder to blob.
Check PowerShell Execution Policy,Check PowerShell Execution Policy,Check PowerShell execution policy.
Install RD agent,Install RD agent,Install RD agent on the device of the user.
Run hybrid AADJ extension,Run hybrid AADJ extension,Run hybrid AADJ extension on the device of the user.
Create VmExtension Request,Create VmExtention Request,Creates VM extension requests to execute VM extension to run custom scripts on the customer device.
Trigger orchestrator,Trigger orchestrator,Trigger orchestrator for the user.
Trigger generic action by SaaF,Trigger generic action by SaaF,"Trigger device action (Retargeting, EnableRdpAccessForCitrix, DisableRdpAccessFprCitrix) for user."
Trigger generic action,Trigger generic action,Trigger device action for user.
Trigger generic action with options,Trigger generic action with options,"Trigger device action with option parameters, more powerful than that of trigger generic action."
Create new work items (Scheduler),Create new work items (Scheduler),"Create new work items, For example, Provision, Deprovision, Reprovision etc."
Post Remote Action Operation,Post Remote Action Operation,"Post Remote Action, plus polling the result by GetActions operation."
OCE Run Commands on VM,OCE Run Commands on VM,"Run commands by tenantID, deviceID list, and script."
Create LogCollection Request,Create LogCollection Request,Create log collection request to Cloud PC.
Trigger CMD Agent Canary check.,Trigger CMD Agent Canary check.,Trigger CMD Agent Canary check on specific device.
Execute AppHealthPlugin,Execute AppHealthPlugin,Execute AppHealthPlugin.
Backfill CMD Agent,AddDevicesToBackfill Operation,Backfill CMD Agent on Cloud PC.
Reinstall CMD Agent,AddDevicesToReinstall Operation,Reinstall CMD Agent on demand.
Bulk reinstall CMD Agent,TriggerClientAgentCheckBulkAction Operation,Bulk reinstall CMD agent on demand.
Create Remote Action Operation in ActionModeratorService,Create Remote Action Operation in ActionModeratorService,"Create remote action by tenantID, workspaceID, actionType, actionParameters."
